age,start,rating,weight,first,podium,place
6,8,70,67,0,0,9
6,7,62,66,0,0,10
5,6,42,65,0,0,11
5,4,29,67,0,0,12
4,9,56,57,1,1,1
4,13,55,57,0,1,2
4,14,52,57,0,1,3
6,3,48,58,0,0,4
4,10,48,57,0,0,5
5,8,45,58,0,0,6
4,12,45,57,0,0,7
4,11,42,57,0,0,8
5,2,40,58,0,0,9
5,6,36,58,0,0,10
5,7,31,56,0,0,11
6,5,23,55,0,0,12
6,4,53,59,1,1,1
4,1,52,60,0,1,2
6,8,41,57,0,1,3
4,2,39,60,0,0,4
6,3,38,58,0,0,5
5,6,33,58,0,0,6
5,5,32,59,0,0,7
5,12,14,51,0,0,8
5,10,17,54,0,0,9
5,7,17,58,0,0,10
6,9,0,55,0,0,11
4,11,0,53,0,0,12
6,2,96,59,1,1,1
7,10,82,54,0,1,2
4,3,88,59,0,1,3
4,11,74,54,0,0,4
5,1,86,60,0,0,5
4,9,71,55,0,0,6
5,7,76,57,0,0,7
4,8,70,55,0,0,8
6,6,77,58,0,0,9
6,12,59,52,0,0,10
5,4,71,58,0,0,11
6,5,48,58,0,0,12
4,1,76,60,1,1,1
7,2,67,59,0,1,2
5,3,66,54,0,1,3
5,11,50,53,0,0,4
4,5,58,58,0,0,5
3,7,52,55,0,0,6
3,8,51,56,0,0,7
4,4,51,58,0,0,8
7,9,41,53,0,0,9
5,6,42,58,0,0,10
6,12,27,50,0,0,11
6,10,23,53,0,0,12
4,8,79,57,1,1,1
4,11,76,56,0,1,2
8,3,82,60,0,1,3
8,7,70,58,0,0,4
9,6,68,58,0,0,5
4,5,67,55,0,0,6
5,4,66,57,0,0,7
5,10,59,57,0,0,8
5,1,59,60,0,0,9
5,2,53,60,0,0,10
7,9,44,57,0,0,11
4,13,26,55,0,0,12
5,2,137,74,1,1,1
5,8,125,71,0,1,2
5,1,123,73,0,1,3
6,5,109,70,0,0,4
6,4,96,71,0,0,5
6,9,89,71,0,0,6
7,3,95,74,0,0,7
9,6,81,70,0,0,8
5,7,69,71,0,0,9
7,11,51,68,0,0,10
5,12,9,68,0,0,11
5,5,72,58,1,1,1
5,1,68,54,0,1,2
5,4,67,58,0,1,3
6,12,54,53,0,0,4
6,6,61,57,0,0,5
6,11,55,53,0,0,6
6,2,56,59,0,0,7
4,7,51,57,0,0,8
4,9,43,55,0,0,9
3,8,42,55,0,0,10
7,3,45,59,0,0,11
4,10,23,55,0,0,12
9,14,50,58,1,1,1
4,5,52,58,0,1,2
4,2,54,57,0,1,3
6,6,49,57,0,0,4
5,8,43,58,0,0,5
7,3,44,56,0,0,6
4,1,45,58,0,0,7
4,10,40,58,0,0,8
4,9,39,57,0,0,9
5,11,38,58,0,0,10
5,12,0,54,0,0,11
4,4,0,58,0,0,12
3,3,74,57,1,1,1
3,2,73,55,0,1,2
3,7,69,55,0,1,3
3,1,75,59,0,0,4
3,10,64,54,0,0,5
3,6,63,54,0,0,6
3,8,63,55,0,0,7
3,11,60,54,0,0,8
3,4,64,56,0,0,9
3,12,55,54,0,0,10
3,9,52,55,0,0,11
3,5,43,56,0,0,12
4,5,76,54,1,1,1
5,10,73,53,0,1,2
4,4,75,50,0,1,3
5,2,75,56,0,0,4
6,11,67,52,0,0,5
7,8,68,53,0,0,6
4,3,66,55,0,0,7
5,7,62,53,0,0,8
7,12,54,52,0,0,9
4,1,67,59,0,0,10
7,6,55,53,0,0,11
6,9,49,52,0,0,12
4,4,84,57,1,1,1
7,5,79,57,0,1,2
5,6,79,57,0,1,2
5,7,76,56,0,0,4
5,11,70,53,0,0,5
8,12,66,52,0,0,6
6,8,71,56,0,0,7
5,9,68,56,0,0,8
6,1,75,59,0,0,9
4,3,70,57,0,0,10
6,2,74,59,0,0,11
4,10,63,55,0,0,12
4,6,68,57,1,1,1
9,10,62,55,0,1,2
6,11,58,54,0,1,3
4,7,60,56,0,0,4
6,4,63,58,0,0,5
4,1,67,60,0,0,6
4,2,62,59,0,0,7
6,12,44,52,0,0,8
5,3,57,58,0,0,9
5,9,48,55,0,0,10
4,8,45,56,0,0,11
4,5,44,57,0,0,12
5,1,93,60,1,1,1
4,2,90,59,0,1,2
5,4,85,58,0,1,3
4,11,71,52,0,0,4
5,9,74,54,0,0,5
3,8,74,54,0,0,6
4,6,78,56,0,0,7
5,5,74,56,0,0,8
9,12,59,50,0,0,9
6,3,73,58,0,0,10
4,10,60,53,0,0,11
4,7,66,56,0,0,12
5,4,78,57,1,1,1
5,13,63,51,0,1,2
8,9,68,54,0,1,3
8,1,83,62,0,0,4
7,12,63,53,0,0,5
5,8,63,53,0,0,6
8,5,67,55,0,0,7
5,10,60,53,0,0,8
6,7,63,54,0,0,9
5,3,67,57,0,0,10
5,6,57,56,0,0,11
6,11,51,53,0,0,12
7,11,52,52,1,1,1
5,2,68,59,0,1,2
6,3,65,58,0,1,3
5,1,64,60,0,0,4
5,4,55,57,0,0,5
6,8,50,55,0,0,6
9,6,50,51,0,0,7
8,9,44,53,0,0,8
5,10,41,53,0,0,9
5,12,38,51,0,0,10
3,7,40,55,0,0,11
4,5,26,55,0,0,12
6,3,71,59,1,1,1
5,12,54,52,0,1,2
4,5,61,56,0,1,3
4,8,55,54,0,0,4
6,2,62,59,0,0,5
8,1,62,60,0,0,6
4,9,48,53,0,0,7
7,7,49,50,0,0,8
3,10,45,54,0,0,9
4,4,53,58,0,0,10
6,6,39,55,0,0,11
5,11,32,51,0,0,12
5,2,109,58,1,1,1
8,4,102,56,0,1,2
5,3,102,58,0,1,3
4,6,96,55,0,0,4
5,12,92,54,0,0,5
7,5,92,55,0,0,6
6,11,84,54,0,0,7
5,10,64,54,0,0,8
7,7,66,55,0,0,9
7,8,65,55,0,0,10
6,1,45,59,0,0,11
4,13,19,53,0,0,12
6,2,142,75,1,1,1
7,7,137,75,0,1,2
8,5,136,75,0,1,3
10,6,125,75,0,0,4
7,3,68,72,0,0,5
7,11,53,72,0,0,6
6,8,58,75,0,0,7
9,4,24,75,0,0,8
7,12,0,69,0,0,9
6,10,0,75,0,0,10
4,14,73,57,1,1,1
4,8,71,59,0,1,2
5,4,66,59,0,1,3
5,6,65,59,0,0,4
5,7,58,59,0,0,5
4,12,53,57,0,0,6
4,11,51,57,0,0,7
4,10,55,59,0,0,8
5,2,51,59,0,0,9
6,1,42,59,0,0,10
5,5,42,56,0,0,11
5,3,39,56,0,0,12
7,5,58,58,1,1,1
10,2,61,60,0,1,2
10,3,60,60,0,1,3
4,11,49,53,0,0,4
5,8,46,56,0,0,5
4,7,53,55,0,0,6
6,1,49,61,0,0,7
4,10,39,54,0,0,8
4,12,35,50,0,0,9
12,4,38,56,0,0,10
9,6,30,54,0,0,11
7,9,0,53,0,0,12
7,3,72,59,1,1,1
6,1,63,59,0,1,2
4,12,48,56,0,1,3
5,2,53,61,0,0,4
4,10,50,59,0,0,5
7,7,46,60,0,0,6
7,5,33,61,0,0,7
11,9,30,58,0,0,8
4,8,9,58,0,0,9
8,11,0,56,0,0,10
4,4,0,61,0,0,11
4,6,0,59,0,0,12
4,8,74,56,1,1,1
4,1,80,60,0,1,2
4,5,75,59,0,1,3
4,6,72,57,0,0,4
4,3,67,59,0,0,5
4,4,65,57,0,0,6
4,9,55,56,0,0,7
4,2,59,58,0,0,8
4,12,48,55,0,0,9
4,7,34,57,0,0,10
4,10,32,53,0,0,11
4,11,9,51,0,0,12
7,10,133,66,1,1,1
9,2,134,74,0,1,2
8,4,129,74,0,1,3
7,8,116,71,0,0,4
7,11,106,68,0,0,5
9,5,110,73,0,0,6
7,1,94,75,0,0,7
7,3,74,74,0,0,8
