age,start,rating,weight
3,8,82,57
5,5,82,58
5,3,82,59
4,2,77,58
5,9,68,56
4,10,57,53
8,11,54,54
4,1,64,60
6,12,48,53
4,6,58,57
4,4,60,58
4,7,42,57
