age,start,rating,weight
8,6,64,57
5,8,62,57
3,4,61,57
6,11,53,55
3,5,55,57
3,7,53,57
3,10,50,56
4,12,43,52
4,9,49,56
6,2,47,58
4,3,39,57
8,1,6,57
